Name,Actual Gross Profit for Venue,Created Time,Forecast GP for Venue,EA Backport with Pivot,Count (Breakdown),Count (Sales Opportunities),SAP ACT GP FYE26,Venue Tier [Private],Venue Tier (Opps),GP Act (per Ops) [Private],GPP Act (per Finance) [Private],_record_id,Venue Type,Address,KERB Status,Sales Opportunities,Breakdown,Venue Photo,Gross Profit (from Event Reports) (from Breakdown),Gross Profit (from Breakdown),Current Sales Manager,Previous Sales Manger(s),Business Development,Venue Commission Rate,Floorpan / Venue Docs,Access Information / Nearest Tube,Guest Access Points & Staff Access Points,Access Times,Loading Bay ,Goods Lift / Stairs Only,Set Up Type?,Inside / Outside,Cooking Restrictions,Onsite Kitchen?,Food BOH Details,Cloakroom,KERB Silver Bins,Waste Removal Info,Power,Water,Venue Bar?,Bar BOH Storage,Do we need lighting for the bar?,Glassware,VRN's Required?,Staff Names Required?,Venue Contact,Department(s),Capacity,Notes,Site Restrictions,Bars,Breakdown copy,Room Hire / Rates & Capacities,Contract,Invoicing,Staff changing rooms/toilets/smoking area,Will there be an on-site H&S audit conducted by venue?,Work Requests,Fire Exit,Loading Bay Photos,Floor Restrictions?,Bar Photos,Venue Sales Representative,Staffing % Target,COGs% Target,Supplier List ,Crew Food,Link To Drive
#N/A,0.0,2025-07-16T11:49:51.000Z,0.0,recb4fQSXmdOgFANb,0,0,0.0,6 - Unranked,Unranked,0.0,0.0,recp7dVmKEwlH43rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,2025-07-16T11:49:51.000Z,0.0,"recm5rkNiQkqE0lXh, reckxLtckpTgcK3aY, recZQxsT1ZZCLbqyX, rec3T9037CH9fyvTF, recuyF49xQ5AQn18C, rec6XzeVyBbMSQYf1, recupA0A4iiDGpFjG, recE31mZr5kvHISNZ, recCbQmacYD183f31, rec9JxIUDyloafw05, recaXGnviWnupqxA9, recJtB4aewHn7m7n6, rec4cpPLYorhMWRzQ, recaywZishLZm7Ry6, recXyP2NoIC468B2T, recAfplNjyWMZ9aoV, recNZezEB1Wt7WiFD, recajtd5kTD3e3dLU, recJqnpoly5i6XMA7, recxwYMfzA5l9GQya, rectZnq2gWzN0AlSv, recKf6v8ZXitwUAeg, rec2UfId09dc9aaw0, rec4T9MiYll8Z6j2O, recXazqcYvtHqLBNo, rec8716VF1ci3DtY7, recZLenuVjQsotYby, recWyc1a6k06WpZOl, recJaqDl8IJJPrEby, recD19ALaoErte2N4, recVw4NxVGBwSh1Ka, recDVGOIqtViz4hga, recegQ5et8TuEjKdE, recJOz1cshFmbW4RW, recr0tk70OiibgCfo, rec7j489q4no7PfXr, recFEntpO2R5MAjQf, recY34KRHQVskme3F, rec5o3o9Hmi9vG8DB, rec7gN42dwnxKmYBE, rec2rhtUeXyTNdJeY, recyacpJG0n9xJIpO, recFafpfk5dbsFis5, recX0714qaNJoqnVK, recvj5xQjSGmar81d, recuJW6O0AJ8u5zDO, recEri8QOdS9bToEZ, recZntlFlbQsb5R9b, reckblA1CcM4vmbML, recDhGHBOuhGIIOLA, recnXDlekwrtDcvsr, recoF5NBItP6YOjI2, recarMeEWQAqxjygM, rec1JkwEObfVDcUd9, recnt8FoFN2D2yqUP, rec6PkAkVlOPzhSID, recky42QJ5DaUrGIB, recAMmK3R7uB4LBCX, recV1LAhVIXgUd1V8, reciFhERAAjptSd7V, recKv345om4C1vgNw, recPVM6VvXX4JnC6f, recFNhEUV06OomhDD, rechqXufJ1Ynlxq1I, recaIivmP2IxnEYnR, recSWGsOhgOAIUQqa, recI4FDepuZr8eAMP, recZq6iCXd0KzRvHM, recVJWNg5HLzonMfe, recWdlAUFR1FtCPtX, recNPFX9bapeQlIJ6, recvNROTYQA5tJDNi, recbODWzAk7uzLOkA, recQwFvAosoNeasK7, recLFSQVohUDSm6Uz, recUKneg5Eh4EE3Ol, recXo7eV6kcfclMrn, recrBAls7P7DsRIhB, reclysNhvADD5fzaS, recgu8tJdQP0ssH5S, recbkmM7pluXT1PoN",0,0,140191.71000000005,6 - Unranked,Unranked,0.0,-27943.49,rec6wHC9zJR8vIDnW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Alfred Mews,0.0,2025-03-26T17:08:47.000Z,0.0,,0,0,0.0,6 - Unranked,Unranked,0.0,0.0,recy1Y5xzc6csougj,Office ,"Tottenham Ct Rd, London W1T 7AA
",NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 America Square,0.0,2025-03-26T17:09:01.000Z,0.0,,0,0,0.0,6 - Unranked,Unranked,0.0,0.0,rec2NsgjmIA5JrsEP,Private Residence,"Cavendish Venues - 
EC3N 2LS",NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Great George Street,0.0,2025-03-26T17:09:01.000Z,0.0,,0,0,0.0,6 - Unranked,Unranked,0.0,0.0,reczqpWHTPG2vtrTi,,"1 Great George St, London SW1P 3AA",NO - But on KERB'S RADAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 John Street,0.0,2025-06-16T13:38:41.000Z,0.0,,0,1,0.0,6 - Unranked,Unranked,0.0,0.0,recYu7wH9fN64K5DJ,,"1 John Street,
Brighton and Hove
BN88 1NH",PROSPECTIVE,reck28AfszwIp73uN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Kingsland Passage,0.0,2025-03-26T17:09:01.000Z,0.0,,0,0,0.0,6 - Unranked,Unranked,0.0,0.0,recfUhPwZmyTuyrQ5,,"1 Kingsland Passage, London, E82BB",NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Tanner Street,0.0,2025-03-26T17:09:01.000Z,0.0,,0,0,0.0,6 - Unranked,Unranked,0.0,0.0,recdlopYzseT0cYLl,,"199 Bermondsey St, London, SE1 3UW",NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Engineers Way,0.0,2025-06-16T14:50:27.000Z,0.0,,0,1,0.0,6 - Unranked,Unranked,0.0,0.0,recR42sS1nZopvXfU,,,,recwHBTJNRZfGwK7u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-4 Bucknall Street,0.0,2025-03-26T17:09:01.000Z,0.0,,0,0,0.0,6 - Unranked,Unranked,0.0,0.0,recXic7bio88jdmiN,,"Private Offices, 2-4 Bucknall Street, London, WC2H 8LA",NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CV,0.0,2025-03-26T17:09:01.000Z,0.0,,0,0,0.0,6 - Unranked,Unranked,0.0,0.0,recUUvRe5nfZtvbw5,,"2CV, Flitcroft Street, London, WC2H 8DL",NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 x locations nationwide,0.0,2025-11-25T10:47:30.000Z,0.0,,0,1,0.0,6 - Unranked,Unranked,0.0,0.0,recaSc3fbNGDCx39q,,,,recsxPK7HvwpLFnC5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-10 Sites across the country,0.0,2025-03-26T17:09:01.000Z,0.0,,0,0,0.0,6 - Unranked,Unranked,0.0,0.0,rec3jTACucGd3KHot,,"Various
",NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5  (142)·Movie studio,0.0,2025-03-26T17:09:01.000Z,0.0,,0,0,0.0,6 - Unranked,Unranked,0.0,0.0,recM1wPmg5A0Z3HpB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 St James Square,10987.670000000002,2025-06-12T09:33:04.000Z,6000.0,recLBWnMapVJRbUHN,1,1,11485.09,5 - Bronze,4 - Bronze,10987.670000000002,11485.09,recbxmxgjDIK2rtej,,,NO,rec0kNaocjjlcxv1e,rec4dIMumhYGGI5Lh,https://v5.airtableusercontent.com/v3/u/50/50/1770458400000/Fhchm7y1eRvKjAyipzY6Wg/1kUTXSdWvGB8hGH4bFM7MMoZHAb37ZDeGZkasgLL_ji-B6xMkkCL4lBRn4KWiCgc_H8cS1bUOjBR2RUzAXbTA5VipZp4zVEjx6ec5krs7T0KmFwPoV_tFP7adcBq0wc-2vSt50s5wI-a6uJ7nZHh8x0kM7HbcmZcCh__DfwFP5w/s-s7Mdrc3PzyQKRsyd4i-kgjXtrDFhM1xgpPGJgr0eo,10987.670000000002,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Cadence Way,0.0,2025-03-26T17:09:01.000Z,0.0,,0,0,0.0,6 - Unranked,Unranked,0.0,0.0,rec9kDsxRkO1ecRxa,,"7 Cadence Way, London, E20 1LR",NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 Holborn EC1N 2LL (Roof Terence),0.0,2025-03-26T17:09:01.000Z,0.0,,0,0,0.0,6 - Unranked,Unranked,0.0,0.0,reclK5inscLZNwSG3,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11 Needham Road, London W11 2RP",0.0,2025-06-24T17:04:37.000Z,0.0,,0,1,0.0,6 - Unranked,Unranked,0.0,0.0,recyr3KcN2JQrGWPb,,,,recXWnaYGZ8FS5OZ9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 Granville Road,0.0,2025-03-26T17:09:01.000Z,0.0,,0,1,0.0,6 - Unranked,Unranked,0.0,0.0,recGLRtlzNY5f61YN,,"13 Granville Road, Oxsted, RH8 0BX",NO,recB8dL9ljxb98gUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Bohemia Place,0.0,2025-03-26T17:09:01.000Z,0.0,,0,0,0.0,6 - Unranked,Unranked,0.0,0.0,recdnQXxAmUmzhUto,,"Mare Street, London, E8 1DU",NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 Littleton Crescent,0.0,2025-03-26T17:09:01.000Z,0.0,,0,0,0.0,6 - Unranked,Unranked,0.0,0.0,reclReLPzxxa842Wh,," Harrow, London, HA1 3SX ",NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 New Burlington Place,0.0,2025-10-24T09:53:26.000Z,0.0,,0,1,0.0,6 - Unranked,Unranked,0.0,0.0,recDzqoPsHgeh1vCF,,,,recxkojdKkwM0rBw8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Fenchurch Street,0.0,2025-09-02T12:40:11.000Z,0.0,,0,1,0.0,6 - Unranked,Unranked,0.0,0.0,rec5Ys9ZrnaJWNe2D,,,NO,reccmlc1aUBQ0xRDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 soho square,0.0,2025-03-26T17:09:01.000Z,0.0,,0,1,0.0,6 - Unranked,Unranked,0.0,0.0,recQd6qKStA6WYRkD,,,,recMnDpzmvLqIvcbE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Floral Street,6897.7300000000005,2025-04-17T15:17:06.000Z,3103.41,recRs8pVjSPRZyskI,1,1,6979.37,5 - Bronze,4 - Bronze,6897.7300000000005,6979.37,recDNv1Ib0aWfF3Vb,,,,rec7zA4n0GIVVp85i,reczRMUqJNV7asHc8,https://v5.airtableusercontent.com/v3/u/50/50/1770458400000/TfEijolAa7okYjw9DvLZTg/wknrLJrocuQH_itVLuiUwIiNU_o2egVuCxZy-FAvq8tj5TNPpVbZDVsO0wX-uMN5Xayb28bXyEMFJqlzX9xERItBuwYOOBIKmckh75cL4XLavrKvObN8DWPrtvmcQjWbS6xFi0YPhfCvuP2uOcw43YfIJv_kut4x4HDSmc-dgP0/32pe_7PeWyGsAmtEoU0qO3SE6N9X19vdUPaBE4JLaWc,6897.7300000000005,3103.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Great Winchester Street,0.0,2025-03-26T17:09:01.000Z,0.0,,0,0,0.0,6 - Unranked,Unranked,0.0,0.0,recOE0HG2XDiKF8f5,,"21 Great Winchester Street, London, EC2N 2JA
",NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Soho Square,0.0,2025-03-26T17:09:01.000Z,0.0,,0,0,0.0,6 - Unranked,Unranked,0.0,0.0,recXb0qyYbFTLchYk,,"21 soho square, London W1D 3QP",NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 West Street,0.0,2025-03-26T17:09:01.000Z,0.0,,0,0,0.0,6 - Unranked,Unranked,0.0,0.0,recAv7NyC2kMF9v1j,,"24 West Street, London, WC2H 9NA",NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
