id,outlet_name,outlet_address,outlet_city,outlet_county,outlet_postcode,outlet_country,store_tag,status,active,created_at,custom_fields,Area
f81cf8a3-2072-47ae-8b6e-b10c8bfd2423,450 Degrees,,,,,GBR,450 Degrees,Active,1,2021-10-11 12:10:01,[],Trader
5cc83598-04f2-44d1-a688-7ba1c508c5e3,AIG Mastercard Cafe,,,,,GBR,R&A,Active,1,2024-08-15 15:41:22,[],Trader
d7a00ea3-7466-4863-b1c9-1f3f1bb38f79,All Fired Up,,,,,GBR,All Fired Up,Active,1,2023-03-30 18:00:13,[],Trader
369d5bce-3546-4e23-a679-6a8eb55bddf0,Amani Kitchen,,,,,GBR,Amani Kitchen,Active,1,2024-03-28 17:45:24,[],Trader
e3bc98b3-46dc-4b46-877a-1585a9b031d8,Amani Kitchen - OVAL 2024,,,,,GBR,OVAL 2024,Active,1,2024-07-06 19:49:00,[],Trader
cbbfd7ee-c055-4d3b-afe1-142dbf45cbd8,Anna Mae's,,,,,GBR,Anna Mae's,Active,1,2021-10-04 15:57:10,[],Trader
3a9cc504-15fb-4f45-8582-51313cf762cc,BBQ Dept,,,,,GBR,BBQ Dept,Active,1,2023-06-20 14:30:29,[],Trader
1b2a2083-c788-4ed4-8d35-3209b4a9d07a,BBQ Dept - The Oval,,,,,GBR,BBQ Dept - The Oval,Active,1,2024-04-22 13:29:38,[],Trader
2243b000-1cf2-407a-ab5c-738871d5add4,Baba Dhaba,,,,,GBR,Baba Dhaba,Active,1,2022-05-31 11:12:11,[],Trader
b6d7c70c-b3ee-4d99-a806-bd516b7d2739,Baba Dhaba - NT 21,"UPPER GROUND, SOUTH BANK",LONDON,,SE1 9PX,GBR,Baba Dhaba - NT 21,Active,1,2021-04-12 21:58:04,[],Trader
56d7a488-69e6-4572-9735-762de186832e,Baba Dhaba - The Oval,,,,,GBR,Baba Dhaba - The Oval,Active,1,2024-05-29 12:34:11,[],Trader
d13ea24a-06b2-450a-8454-e661556098c2,Baba Dhaba - The Oval,,,,,GBR,Baba Dhaba - The Oval,Inactive,0,2021-08-13 14:07:07,[],Trader
84a171c3-f3e1-467f-9caf-e1465775e395,Badboy Wings,,,,,GBR,Babdboy Wings,Active,1,2023-03-30 18:16:35,[],Trader
a13539c9-5286-4cdb-a871-9ef161c7e6d2,Baggio Burger,,,,,GBR,Baggio Burger,Active,1,2022-09-27 13:42:23,[],Trader
d239438a-9497-40d7-acd8-dae64406ae8f,Bait,,,,,GBR,Bait,Active,1,2024-03-28 17:36:46,[],Trader
d0e47e11-07a8-4ec3-a651-aec095c7a2d2,Baked Bird,,,,,GBR,Baked Bird,Active,1,2022-03-14 18:54:12,[],Trader
6a323331-8493-4a5c-8dac-0854d0d45784,Baked Bird - The Oval,,,,,GBR,Baked Bird - The Oval,Active,1,2023-05-24 08:36:11,[],Trader
9cc2a9f0-9c39-4456-a376-ddb04e54db47,Bare Bones Churros,,,,,GBR,Bare Bones Churros,Active,1,2023-07-31 11:59:44,[],Trader
788fa62f-b136-46f6-a8ec-45b2f92a54b2,Bare Bones Pizza,,,,,GBR,Bare Bones Pizza,Active,1,2023-02-28 14:00:30,[],Trader
3ac2b1b8-bd42-4aa3-9b31-8a6c9c8132bb,Barney & The Pizza,,,,,GBR,Barney & The Pizza,Active,1,2022-04-07 08:42:06,[],Trader
174b9c13-446e-45f9-b4e4-beeeedff07f0,Barney's Pizza - DREAMLAND,"49-51, Marine Terrace",Margate,,CT9 1XJ,GBR,Barney's Pizza - DREAMLAND,Active,1,2024-03-27 12:55:00,[],Trader
579659b4-ca44-4728-8c22-df2aa4ea76aa,Bask Street Boys,,,,,GBR,Bask Street Boys,Active,1,2025-07-05 06:52:31,[],Trader
97ff77c1-f943-47fb-9919-77bf64c7613e,Beyroots,,,,,GBR,Beyroots,Active,1,2022-12-06 15:24:50,[],Trader
8598398a-8415-45cf-b58c-9ab065eca96a,Beyroots - The Oval 23,,,,,GBR,Beyroots - The Oval 23,Active,1,2023-05-24 08:35:20,[],Trader
e5656196-0e47-4e24-acc2-2570f45af62c,Bian Dang,,,,,GBR,Bian Dang,Active,1,2021-10-11 11:38:56,[],Trader
58b4a3a6-1770-4d42-83f5-ca41e77d7e67,Bian Dang - NT 21,"Upper Ground, South Bank",London,,SE1 9PX,GBR,Bian Dang - NT 21,Active,1,2021-04-12 21:58:04,[],Trader
204f8836-fc86-4a1e-8295-60c59bc53aae,Bian Dang - OVAL 2024,,,,,GBR,Bian Dang - OVAL 2024,Active,1,2024-04-22 13:30:37,[],Trader
28aa0d33-a57e-4d99-851b-1cfbae19c7d6,Big Kid KEW 2023,,,,,GBR,Big Kid KEW 2023,Active,1,2023-10-22 18:16:45,[],Trader
4079a340-03bf-417e-aed0-440dd91128c5,Big Shot - DREAMLAND,"49-51, Marine Terrace",Margate,Kent,CT9 1XJ,GBR,Big Shot - DREAMLAND,Active,1,2023-12-11 11:41:26,[],Trader
3f7b400b-609c-4848-bf3f-ecb09548fac9,Billys Chips,,,,,GBR,Billys Chips,Active,1,2022-08-10 13:04:15,[],Trader
a581a17b-1a85-4517-be02-574c6c2c1503,Birchwood Pizza,,,,,GBR,Manchester,Active,1,2024-08-06 13:39:24,[],Trader
19404564-98e8-44ed-9def-f4d41361a43d,Bonnie Burrito,,,,,GBR,AIG24,Active,1,2024-08-15 08:42:50,[],Trader
a7e23409-7ded-4780-bc88-b6dfe851f512,Born & Raised,,,,,GBR,Born & Raised,Active,1,2023-08-09 11:44:45,[],Trader
4a1cdcf6-a836-4e29-bc77-bf7e90d9af01,Bournville Waffle Company,,,,,GBR,Bournville Waffle Company,Active,1,2023-06-20 14:30:59,[],Trader
2047e905-c32e-4b0c-a44a-9a9cbad8b7d4,Buddha Belly,,,,,GBR,Buddha Belly,Active,1,2023-03-30 18:14:20,[],Trader
5103e934-b87a-49d6-82a2-cec4a762ac10,Burger and Beyond,,,,,GBR,Burger and Beyond,Active,1,2025-10-06 12:08:12,[],Trader
1a3d4022-a53b-4a48-8166-9b0ba9af5187,Burgervore,,,,,GBR,Burgervore,Active,1,2025-06-24 11:38:58,[],Trader
